reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
3,31,23,0,74,74,68,147.52808069999446,148.5280810999975,148.5280810999975,148.5280810999975,l,0.619847199996002,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
50,59,99,0,75,75,55,149.17800049998914,150.16171799998847,150.16171799998847,150.17864319999353,t,0.5332267000048887,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
31,45,13,0,76,76,23,150.71797649998916,151.71196970000165,151.71196970000165,151.72844469999836,t,0.6929652999970131,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
34,59,6,0,77,77,92,152.43488369999977,153.4285094999941,153.4285094999941,153.44489259998954,t,0.5729926000058185,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
22,44,43,0,78,78,78,154.0347819000017,155.0284823999973,155.0284823999973,155.04495660000248,t,0.686524200005806,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
21,87,35,0,79,79,25,155.7518524999905,156.74493689999508,156.74493689999508,156.76179009999032,t,0.48728420000406913,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
55,69,87,0,80,80,74,157.2689851999894,158.2615214999969,158.2615214999969,158.278447699995,l,0.5886882999911904,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
15,16,25,0,81,81,7,158.8844487999886,159.87837539998873,159.87837539998873,159.8947538999928,l,0.8317685000074562,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
35,55,88,0,82,82,67,160.73523349998868,161.7279675000027,161.7279675000027,161.74464160000207,t,0.4689413999876706,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
9,29,28,0,83,83,15,162.23473569999624,163.2278748999961,163.2278748999961,163.24441919999663,t,0.27874290000181645,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
62,74,13,0,84,84,51,163.53541339999356,164.52818559999287,164.52818559999287,164.544825399993,t,0.5906644000060624,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
62,96,47,0,85,85,58,165.15195479999238,166.1444646000018,166.1444646000018,166.1611137,t,0.3720201999967685,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
5,17,45,0,86,86,36,166.5519215999957,167.54450009998982,167.54450009998982,167.56113239999104,t,0.4168514999910258,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
40,49,10,0,87,87,49,167.98600969999097,168.9779383999994,168.9779383999994,168.9943634999945,t,0.386375499991118,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
38,75,15,0,88,88,52,169.40032719999726,170.39439659999334,170.39439659999334,170.41088149999268,t,0.5766806999890832,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
